tenure,monthly_charges,senior_citizen,payment_electronic,contract_type,target
52,105.57,0,1,One year,1
15,103.02,1,1,One year,1
61,59.72,0,1,Month-to-month,0
21,86.81,0,0,One year,0
24,40.5,0,1,Two year,1
3,49.31,0,0,Month-to-month,1
22,109.63,0,0,Two year,1
53,21.3,0,0,One year,0
2,28.55,0,0,Two year,0
30,40.79,0,0,Month-to-month,1
38,22.65,0,1,Month-to-month,0
2,38.14,0,0,Two year,1
64,78.3,0,0,Month-to-month,0
60,62.14,0,0,Two year,0
21,109.27,0,0,Month-to-month,1
33,101.74,1,1,One year,0
58,54.18,0,0,Month-to-month,0
22,45.94,0,0,One year,0
49,57.97,0,0,Month-to-month,0
59,79.03,0,0,Month-to-month,0
42,46.81,1,0,Month-to-month,0
60,82.41,1,1,Month-to-month,1
15,60.94,0,1,Two year,1
62,75.2,0,0,Two year,0
62,63.61,0,1,Month-to-month,0
47,49.45,1,1,One year,1
62,114.85,0,1,Month-to-month,0
51,96.36,0,0,One year,0
55,34.01,0,0,Two year,0
64,106.85,0,0,Two year,0
3,68.74,0,1,Month-to-month,0
51,109.46,0,1,One year,0
7,99.99,0,0,Month-to-month,0
21,62.52,0,0,Two year,1
39,22.25,0,1,Month-to-month,0
18,46.87,0,1,One year,0
4,74.16,0,1,One year,1
60,83.35,0,1,One year,0
14,45.79,0,0,Month-to-month,0
9,33.94,0,0,Two year,0
53,103.49,0,1,Month-to-month,0
2,118.44,0,0,One year,0
60,72.57,0,0,Month-to-month,0
71,37.17,0,1,Month-to-month,0
44,47.23,1,0,One year,0
8,21.84,0,1,Month-to-month,0
47,111.43,1,0,Month-to-month,0
35,31.78,0,1,Month-to-month,0
36,77.65,0,0,Month-to-month,0
50,47.41,0,0,One year,0
4,75.42,0,1,Two year,1
2,85.14,0,0,Month-to-month,0
6,102.97,0,1,Month-to-month,1
54,40.64,0,1,Month-to-month,0
4,21.1,0,0,Month-to-month,0
54,33.69,0,0,One year,0
63,110.0,0,0,One year,0
18,107.39,0,0,Month-to-month,0
44,79.74,0,1,Month-to-month,0
34,80.05,0,1,Month-to-month,0
62,86.5,0,1,Two year,1
14,37.54,0,1,Two year,0
48,111.44,0,0,Month-to-month,0
15,61.88,1,1,Month-to-month,1
62,58.31,1,1,Two year,0
40,71.89,0,1,Two year,0
53,24.7,0,1,Month-to-month,0
24,36.63,0,0,Month-to-month,0
26,93.8,0,1,Month-to-month,0
60,28.28,0,0,One year,0
41,80.32,0,0,Month-to-month,0
29,44.53,1,0,Month-to-month,0
15,58.93,0,1,One year,0
45,48.87,0,1,Month-to-month,0
65,55.57,0,1,One year,0
71,91.9,0,1,Month-to-month,0
9,49.71,0,0,Month-to-month,0
1,76.64,0,1,One year,0
8,67.61,0,0,Month-to-month,0
63,86.37,0,0,Two year,0
11,113.68,1,0,One year,0
8,93.26,0,1,Month-to-month,0
35,41.49,0,1,One year,0
35,23.12,0,0,Month-to-month,0
33,46.23,1,0,Two year,0
5,79.51,0,1,Month-to-month,1
41,25.14,0,0,One year,0
